repeat,severity,classifier,mode,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
0,0.0,logistic,unweighted,0.08173806489102271,0.65,0.0,180.0,180.0,1.0,1.0
0,0.0,logistic,source,0.08695802515758955,0.465,0.0,178.93396326981144,180.0,1.1882684480001524,1.0
0,0.0,logistic,target,0.08628326263109141,0.47,0.0,180.0,178.84081438491867,1.0,1.214728652301892
0,0.0,logistic,both,0.09166616625725374,0.295,0.0,178.93396326981144,178.84081438491867,1.1882684480001524,1.214728652301892
0,0.0,logistic,crump,0.08173806489102271,0.65,0.0,180.0,180.0,1.0,1.0
0,0.0,logistic,overlap,0.08226979438751683,0.64,0.0,179.98792703857316,179.98240395841447,0.24999997344431918,0.24999997606892044
0,0.0,random_forest,unweighted,0.08173806489102271,0.65,0.0,180.0,180.0,1.0,1.0
0,0.0,random_forest,source,0.0870342807016884,0.455,0.0,175.17907625011787,180.0,1.2955049074999248,1.0
0,0.0,random_forest,target,0.08641397958158632,0.495,0.0,180.0,175.8261963330084,1.0,1.3899387352816224
0,0.0,random_forest,both,0.09195204164740009,0.305,0.0,175.17907625011787,175.8261963330084,1.2955049074999248,1.3899387352816224
0,0.0,random_forest,crump,0.08173806489102271,0.65,0.0,180.0,180.0,1.0,1.0
0,0.0,random_forest,overlap,0.08526676635404347,0.535,0.0,179.4229935212932,178.8988958599181,0.2499996630423095,0.2499996323906975
0,0.0,hist_gbm,unweighted,0.08173806489102271,0.65,0.0,180.0,180.0,1.0,1.0
0,0.0,hist_gbm,source,0.08284793458126066,0.63,0.0,161.82163146273155,180.0,1.6770317740766858,1.0
0,0.0,hist_gbm,target,0.0885650596251701,0.38,0.0,180.0,166.98152294283796,1.0,1.9068471893076255
0,0.0,hist_gbm,both,0.08962766030734683,0.38,0.0,161.82163146273155,166.98152294283796,1.6770317740766858,1.9068471893076255
0,0.0,hist_gbm,crump,0.08173806489102271,0.65,0.0,180.0,180.0,1.0,1.0
0,0.0,hist_gbm,overlap,0.08390284361237468,0.585,0.0,176.62194518886778,177.10171863582357,0.24999932373476633,0.24999932373476633
0,0.1,logistic,unweighted,0.09689860634811767,0.15,0.0,180.0,180.0,1.0,1.0
0,0.1,logistic,source,0.09149157995905674,0.28,0.0,178.31786860019912,180.0,1.2264993569261426,1.0
0,0.1,logistic,target,0.08882613672780884,0.395,0.0,180.0,178.17305323914354,1.0,1.2701943081129778
0,0.1,logistic,both,0.08350713472654583,0.615,0.0,178.31786860019912,178.17305323914354,1.2264993569261426,1.2701943081129778
0,0.1,logistic,crump,0.09689860634811767,0.15,0.0,180.0,180.0,1.0,1.0
0,0.1,logistic,overlap,0.09654192386861762,0.18,0.0,179.95692478243492,179.94816355453258,0.24999999999255695,0.24999991138999933
0,0.1,random_forest,unweighted,0.09689860634811767,0.15,0.0,180.0,180.0,1.0,1.0
0,0.1,random_forest,source,0.0974499538761792,0.16,0.0,172.40288868346775,180.0,1.2726968108099803,1.0
0,0.1,random_forest,target,0.08442331279476888,0.575,0.0,180.0,169.06027791131956,1.0,1.3040462435018547
0,0.1,random_forest,both,0.08486992838495856,0.565,0.0,172.40288868346775,169.06027791131956,1.2726968108099803,1.3040462435018547
0,0.1,random_forest,crump,0.08525433000219079,0.46,0.0,175.0,173.0,1.0,1.0
0,0.1,random_forest,overlap,0.08378471758589505,0.585,0.0,176.8716389843272,172.32813182689657,0.24999948359271304,0.24999969205097364
0,0.1,hist_gbm,unweighted,0.09689860634811767,0.15,0.0,180.0,180.0,1.0,1.0
0,0.1,hist_gbm,source,0.09088559340052722,0.335,0.0,159.64163536356995,180.0,1.966060717027239,1.0
0,0.1,hist_gbm,target,0.08761814754287736,0.4,0.0,180.0,158.32344389822111,1.0,2.0064295178097655
0,0.1,hist_gbm,both,0.08166429479830692,0.665,0.0,159.64163536356995,158.32344389822111,1.966060717027239,2.0064295178097655
0,0.1,hist_gbm,crump,0.09689860634811767,0.15,0.0,180.0,180.0,1.0,1.0
0,0.1,hist_gbm,overlap,0.09554239637033879,0.205,0.0,176.640370116587,174.82409318031497,0.24999924860401293,0.24999924860401293
0,0.2,logistic,unweighted,0.14746522347965252,0.005,1.0,180.0,180.0,1.0,1.0
0,0.2,logistic,source,0.12771259969281368,0.005,1.0,158.61403136294132,180.0,1.7047539687623208,1.0
0,0.2,logistic,target,0.10834443221528564,0.02,1.0,180.0,159.1716403458396,1.0,1.844110140961678
0,0.2,logistic,both,0.08751852845148292,0.36,0.0,158.61403136294132,159.1716403458396,1.7047539687623208,1.844110140961678
0,0.2,logistic,crump,0.14746522347965252,0.005,1.0,180.0,180.0,1.0,1.0
0,0.2,logistic,overlap,0.12896737060797842,0.005,1.0,174.52985291114138,174.94373341394746,0.24999990339410524,0.24999646355943797
0,0.2,random_forest,unweighted,0.14746522347965252,0.005,1.0,180.0,180.0,1.0,1.0
