repeat,effect_size,severity,mode,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
8,0.45,0.25,both,0.1076849848830003,0.04,1.0,136.2859563127717,137.0131619290751,2.195935534678084,2.422265838084075
8,0.45,0.25,crump,0.18406391879990758,0.002,1.0,163.0,159.0,1.0,1.0
8,0.6,0.25,unweighted,0.21349211343545196,0.002,1.0,180.0,180.0,1.0,1.0
8,0.6,0.25,source,0.17310226931169137,0.002,1.0,136.2859563127717,180.0,2.195935534678084,1.0
8,0.6,0.25,target,0.16372806704196963,0.002,1.0,180.0,137.0131619290751,1.0,2.422265838084075
8,0.6,0.25,both,0.11706224976459972,0.006,1.0,136.2859563127717,137.0131619290751,2.195935534678084,2.422265838084075
8,0.6,0.25,crump,0.1935700133757481,0.002,1.0,163.0,159.0,1.0,1.0
9,0.0,0.25,unweighted,0.15923758573388203,0.002,1.0,180.0,180.0,1.0,1.0
9,0.0,0.25,source,0.13724296790749785,0.002,1.0,154.70339602876084,180.0,1.6831965970224094,1.0
9,0.0,0.25,target,0.11116634376663735,0.01,1.0,180.0,150.65060514401014,1.0,2.115211058307242
9,0.0,0.25,both,0.0885496131291326,0.398,0.0,154.70339602876084,150.65060514401014,1.6831965970224094,2.115211058307242
9,0.0,0.25,crump,0.15834277221624904,0.002,1.0,178.0,178.0,1.0,1.0
9,0.15,0.25,unweighted,0.16798431450998325,0.002,1.0,180.0,180.0,1.0,1.0
9,0.15,0.25,source,0.14525895537782404,0.002,1.0,154.70339602876084,180.0,1.6831965970224094,1.0
9,0.15,0.25,target,0.12079107036743766,0.002,1.0,180.0,150.65060514401014,1.0,2.115211058307242
9,0.15,0.25,both,0.09696895757482701,0.156,0.0,154.70339602876084,150.65060514401014,1.6831965970224094,2.115211058307242
9,0.15,0.25,crump,0.16718158325744215,0.002,1.0,178.0,178.0,1.0,1.0
9,0.3,0.25,unweighted,0.17635618331809175,0.002,1.0,180.0,180.0,1.0,1.0
9,0.3,0.25,source,0.15315508743938638,0.002,1.0,154.70339602876084,180.0,1.6831965970224094,1.0
9,0.3,0.25,target,0.1302206251078677,0.002,1.0,180.0,150.65060514401014,1.0,2.115211058307242
9,0.3,0.25,both,0.1054780530352554,0.042,1.0,154.70339602876084,150.65060514401014,1.6831965970224094,2.115211058307242
9,0.3,0.25,crump,0.17563019166784305,0.002,1.0,178.0,178.0,1.0,1.0
9,0.45,0.25,unweighted,0.1851426726108825,0.002,1.0,180.0,180.0,1.0,1.0
9,0.45,0.25,source,0.16170213836300643,0.002,1.0,154.70339602876084,180.0,1.6831965970224094,1.0
9,0.45,0.25,target,0.14006133050280237,0.002,1.0,180.0,150.65060514401014,1.0,2.115211058307242
9,0.45,0.25,both,0.11467660678519732,0.006,1.0,154.70339602876084,150.65060514401014,1.6831965970224094,2.115211058307242
9,0.45,0.25,crump,0.18452953310194964,0.002,1.0,178.0,178.0,1.0,1.0
9,0.6,0.25,unweighted,0.19397497046944065,0.002,1.0,180.0,180.0,1.0,1.0
9,0.6,0.25,source,0.17039473126318144,0.002,1.0,154.70339602876084,180.0,1.6831965970224094,1.0
9,0.6,0.25,target,0.15022789995310162,0.002,1.0,180.0,150.65060514401014,1.0,2.115211058307242
9,0.6,0.25,both,0.12418037863733418,0.002,1.0,154.70339602876084,150.65060514401014,1.6831965970224094,2.115211058307242
9,0.6,0.25,crump,0.19344389730994782,0.002,1.0,178.0,178.0,1.0,1.0
10,0.0,0.25,unweighted,0.16047701379362903,0.002,1.0,180.0,180.0,1.0,1.0
10,0.0,0.25,source,0.13592546791711346,0.002,1.0,152.07911271276387,180.0,1.9517051290691916,1.0
10,0.0,0.25,target,0.11003155279301009,0.014,1.0,180.0,147.45145073015254,1.0,1.9589010360901802
10,0.0,0.25,both,0.08295985604514014,0.58,0.0,152.07911271276387,147.45145073015254,1.9517051290691916,1.9589010360901802
10,0.0,0.25,crump,0.15949429270984206,0.002,1.0,180.0,179.0,1.0,1.0
10,0.15,0.25,unweighted,0.16864479500076207,0.002,1.0,180.0,180.0,1.0,1.0
10,0.15,0.25,source,0.14311771513906613,0.002,1.0,152.07911271276387,180.0,1.9517051290691916,1.0
10,0.15,0.25,target,0.11939415782907128,0.002,1.0,180.0,147.45145073015254,1.0,1.9589010360901802
10,0.15,0.25,both,0.09095140953001604,0.32,0.0,152.07911271276387,147.45145073015254,1.9517051290691916,1.9589010360901802
