severity,classifier,mode,count,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
0.0,hist_gbm,both,40,0.08454346333935644,0.5200000000000001,0.0,160.79012608817283,161.06180540487998,1.8608466572219189,1.8698307240776093
0.0,hist_gbm,crump,40,0.08376426122430765,0.529875,0.05,179.55,179.75,1.0,1.0
0.0,hist_gbm,overlap,40,0.08444351371551641,0.521625,0.025,176.09908760746796,176.1724037416225,0.2499884205373622,0.24998926161367888
0.0,hist_gbm,source,40,0.083144659109913,0.5650000000000002,0.025,160.79012608817283,180.0,1.8608466572219189,1.0
0.0,hist_gbm,target,40,0.08511818503433546,0.48824999999999985,0.0,180.0,161.06180540487998,1.0,1.8698307240776093
0.0,hist_gbm,unweighted,40,0.08377348829732512,0.53,0.05,180.0,180.0,1.0,1.0
0.0,logistic,both,40,0.08515108895161465,0.4965,0.0,179.46693454623303,179.4550034531184,1.1200647941077668,1.1257673332039915
0.0,logistic,crump,40,0.08377348829732512,0.53,0.05,180.0,180.0,1.0,1.0
0.0,logistic,overlap,40,0.08420674585842378,0.5301249999999997,0.05,179.99300166545964,179.99228309676874,0.24999993909308144,0.2499999128805733
0.0,logistic,source,40,0.08473192016729034,0.5095000000000002,0.025,179.46693454623303,180.0,1.1200647941077668,1.0
0.0,logistic,target,40,0.08411225793279445,0.5256249999999999,0.0,180.0,179.4550034531184,1.0,1.1257673332039915
0.0,logistic,unweighted,40,0.08377348829732512,0.53,0.05,180.0,180.0,1.0,1.0
0.0,random_forest,both,40,0.08493225302783491,0.5067500000000001,0.0,172.8239135945864,172.32671831776642,1.4172794668474986,1.4318460019937418
0.0,random_forest,crump,40,0.08322538819532548,0.53725,0.025,179.5,178.8,1.0,1.0
0.0,random_forest,overlap,40,0.08403076775543664,0.5307499999999999,0.0,178.5458830867676,178.0357255941696,0.24999782644579055,0.24999917401868302
0.0,random_forest,source,40,0.08643994281775992,0.4725,0.05,172.8239135945864,180.0,1.4172794668474986,1.0
0.0,random_forest,target,40,0.08220327841044514,0.5741250000000001,0.0,180.0,172.32671831776642,1.0,1.4318460019937418
0.0,random_forest,unweighted,40,0.08377348829732512,0.53,0.05,180.0,180.0,1.0,1.0
0.1,hist_gbm,both,40,0.08524899138030198,0.5006250000000001,0.0,148.86992389141483,147.43220150554254,2.311706637243028,2.3408155625650644
0.1,hist_gbm,crump,40,0.09305991900044036,0.323875,0.225,169.05,165.4,1.0,1.0
0.1,hist_gbm,overlap,40,0.09515203110403465,0.236625,0.15,168.03501639987994,166.1527153554247,0.24999392191806002,0.24999241030963365
0.1,hist_gbm,source,40,0.1048555263387835,0.10762499999999994,0.5,148.86992389141483,180.0,2.311706637243028,1.0
0.1,hist_gbm,target,40,0.09433537910155186,0.24799999999999986,0.175,180.0,147.43220150554254,1.0,2.3408155625650644
0.1,hist_gbm,unweighted,40,0.11376121894528275,0.026750000000000003,0.875,180.0,180.0,1.0,1.0
0.1,logistic,both,40,0.08074863779712857,0.6461249999999998,0.0,171.54414100021603,171.49516961977423,1.4800700660975583,1.4985772409594174
0.1,logistic,crump,40,0.11376121894528275,0.026750000000000003,0.875,180.0,180.0,1.0,1.0
0.1,logistic,overlap,40,0.10849557171454524,0.046749999999999986,0.675,178.87524690960052,178.88577101227708,0.24999926518357288,0.24999920424576388
