effect_size,mode,count,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
0.0,both,40,0.06033687385651069,0.9843750000000002,0.0,170.99579190150124,160.92063444641872,1.5944711740059743,1.7069387977309431
0.0,crump,40,0.09413654353071085,0.260125,0.2,179.975,179.95,1.0,1.0
0.0,overlap,40,0.0887698971689722,0.39737500000000003,0.075,179.12679222295924,176.54567227362583,0.2499990057000069,0.24999555241781185
0.0,source,40,0.08031731185788302,0.6413749999999999,0.0,170.99579190150124,180.0,1.5944711740059743,1.0
0.0,target,40,0.07262789055727559,0.8449999999999998,0.0,180.0,160.92063444641872,1.0,1.7069387977309431
0.0,unweighted,40,0.094166239092745,0.25949999999999995,0.2,180.0,180.0,1.0,1.0
0.15,both,40,0.07456014227057602,0.8098749999999999,0.0,170.99579190150124,160.92063444641872,1.5944711740059743,1.7069387977309431
0.15,crump,40,0.10905768145098897,0.052499999999999956,0.675,179.975,179.95,1.0,1.0
0.15,overlap,40,0.10507098498612044,0.08224999999999996,0.525,179.12679222295924,176.54567227362583,0.2499990057000069,0.24999555241781185
0.15,source,40,0.09387943974302408,0.27362499999999995,0.2,170.99579190150124,180.0,1.5944711740059743,1.0
0.15,target,40,0.08859917849886503,0.394875,0.05,180.0,160.92063444641872,1.0,1.7069387977309431
0.15,unweighted,40,0.1090833154959229,0.05224999999999995,0.675,180.0,180.0,1.0,1.0
0.3,both,40,0.09136806178638637,0.32037499999999997,0.075,170.99579190150124,160.92063444641872,1.5944711740059743,1.7069387977309431
0.3,crump,40,0.1257886277678609,0.008125000000000004,0.975,179.975,179.95,1.0,1.0
0.3,overlap,40,0.12334676113165306,0.009875000000000004,0.975,179.12679222295924,176.54567227362583,0.2499990057000069,0.24999555241781185
0.3,source,40,0.10950020831293097,0.04862499999999996,0.675,170.99579190150124,180.0,1.5944711740059743,1.0
0.3,target,40,0.10694222186674547,0.05962499999999996,0.65,180.0,160.92063444641872,1.0,1.7069387977309431
0.3,unweighted,40,0.12580976316015094,0.008125000000000004,0.975,180.0,180.0,1.0,1.0
0.45,both,40,0.11019909107216348,0.04024999999999999,0.7,170.99579190150124,160.92063444641872,1.5944711740059743,1.7069387977309431
0.45,crump,40,0.14358940038609633,0.005000000000000003,1.0,179.975,179.95,1.0,1.0
0.45,overlap,40,0.1427861651607159,0.005000000000000003,1.0,179.12679222295924,176.54567227362583,0.2499990057000069,0.24999555241781185
0.45,source,40,0.12654531683729178,0.008000000000000004,0.975,170.99579190150124,180.0,1.5944711740059743,1.0
0.45,target,40,0.12694994104318919,0.007000000000000004,1.0,180.0,160.92063444641872,1.0,1.7069387977309431
0.45,unweighted,40,0.14360553216925773,0.005000000000000003,1.0,180.0,180.0,1.0,1.0
0.6,both,40,0.13062939007563162,0.0058750000000000035,1.0,170.99579190150124,160.92063444641872,1.5944711740059743,1.7069387977309431
0.6,crump,40,0.16203683105269417,0.005000000000000003,1.0,179.975,179.95,1.0,1.0
0.6,overlap,40,0.16281604512794304,0.005000000000000003,1.0,179.12679222295924,176.54567227362583,0.2499990057000069,0.24999555241781185
0.6,source,40,0.14460671337518272,0.005000000000000003,1.0,170.99579190150124,180.0,1.5944711740059743,1.0
0.6,target,40,0.1481450671978372,0.005000000000000003,1.0,180.0,160.92063444641872,1.0,1.7069387977309431
0.6,unweighted,40,0.16204773262459993,0.005000000000000003,1.0,180.0,180.0,1.0,1.0
