overlap_severity,mode,count,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
0.0,both,40,0.07241507069293746,0.8258749999999999,0.0,179.62643768029957,179.6477533215055,1.1088549830813759,1.1021224899193374
0.0,crump,40,0.07369243917657367,0.7951249999999999,0.025,180.0,180.0,1.0,1.0
0.0,overlap,40,0.07403361388218108,0.7962499999999999,0.025,179.9969996286388,179.99714288388915,0.24999996839481847,0.24999996581352643
0.0,source,40,0.07327074252581192,0.8128749999999998,0.0,179.62643768029957,180.0,1.1088549830813759,1.0
0.0,target,40,0.07278290799900403,0.8225,0.0,180.0,179.6477533215055,1.0,1.1021224899193374
0.0,unweighted,40,0.07369243917657367,0.7951249999999999,0.025,180.0,180.0,1.0,1.0
0.1,both,40,0.06632557555844515,0.9215,0.0,177.2437773235412,175.47652781359466,1.3299504593000049,1.3428086832080588
0.1,crump,40,0.08253944175335318,0.57,0.05,180.0,180.0,1.0,1.0
0.1,overlap,40,0.08174942747556438,0.6076250000000001,0.05,179.90366145865914,179.67454174671184,0.24999965525029863,0.24999948766006969
0.1,source,40,0.07552534969473981,0.7725,0.0,177.2437773235412,180.0,1.3299504593000049,1.0
0.1,target,40,0.07292095509872498,0.8268749999999999,0.0,180.0,175.47652781359466,1.0,1.3428086832080588
0.1,unweighted,40,0.08253944175335318,0.57,0.05,180.0,180.0,1.0,1.0
0.2,both,40,0.06285190919688884,0.9537499999999994,0.0,173.38965167521582,166.5293253021219,1.5193806621134356,1.5734349923583544
0.2,crump,40,0.09131670103166441,0.31662500000000005,0.125,180.0,180.0,1.0,1.0
0.2,overlap,40,0.08759438308044043,0.43600000000000005,0.05,179.51173079719635,178.05262522307942,0.24999914583252797,0.24999830814733554
0.2,source,40,0.07976450588603183,0.6705000000000003,0.025,173.38965167521582,180.0,1.5193806621134356,1.0
0.2,target,40,0.07327621518512234,0.8221250000000003,0.0,180.0,166.5293253021219,1.0,1.5734349923583544
0.2,unweighted,40,0.09131670103166441,0.31662500000000005,0.125,180.0,180.0,1.0,1.0
0.3,both,40,0.06021415969130937,0.9698749999999997,0.0,168.54469856097657,154.66098199444184,1.6942048028398662,1.7996341124473099
0.3,crump,40,0.09983543592433045,0.15212499999999995,0.35,179.975,179.9,1.0,1.0
0.3,overlap,40,0.09235348642225345,0.31375000000000003,0.1,178.60223776580324,174.75557083610346,0.24999807925975603,0.24999761848648086
0.3,source,40,0.08415427207907003,0.5433749999999999,0.05,168.54469856097657,180.0,1.6942048028398662,1.0
0.3,target,40,0.0739663672328016,0.8029999999999999,0.0,180.0,154.66098199444184,1.0,1.7996341124473099
0.3,unweighted,40,0.09995393468507087,0.15174999999999994,0.375,180.0,180.0,1.0,1.0
0.4,both,40,0.057936056638199084,0.9795000000000001,0.0,162.41546712662696,140.8808117367083,1.8837189251946067,2.049658109615584
0.4,crump,40,0.10764496298959395,0.05924999999999999,0.7,179.65,178.3,1.0,1.0
0.4,overlap,40,0.09660840029022612,0.21725000000000008,0.2,176.83781662664714,169.8560879924367,0.24999791123247755,0.24999089701480956
0.4,source,40,0.08850720946614293,0.41674999999999995,0.1,162.41546712662696,180.0,1.8837189251946067,1.0
0.4,target,40,0.07514248945574314,0.7861250000000002,0.0,180.0,140.8808117367083,1.0,2.049658109615584
0.4,unweighted,40,0.10895557784636486,0.050624999999999976,0.8,180.0,180.0,1.0,1.0
