repeat,effect_size,mode,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
0,0.0,unweighted,0.08855313500228623,0.37,0.0,180.0,180.0,1.0,1.0
0,0.0,source,0.07465889056050345,0.815,0.0,171.86620698118767,180.0,1.6054177068732831,1.0
0,0.0,target,0.07027528081780399,0.925,0.0,180.0,161.94957779125778,1.0,1.7308967919395633
0,0.0,both,0.05777404442022121,1.0,0.0,171.86620698118767,161.94957779125778,1.6054177068732831,1.7308967919395633
0,0.0,crump,0.08855313500228623,0.37,0.0,180.0,180.0,1.0,1.0
0,0.0,overlap,0.08440042146289878,0.53,0.0,179.22466888287803,177.22888975628837,0.24999861622813885,0.24999972444792132
0,0.15,unweighted,0.10280283112330438,0.03,1.0,180.0,180.0,1.0,1.0
0,0.15,source,0.08745971434838455,0.42,0.0,171.86620698118767,180.0,1.6054177068732831,1.0
0,0.15,target,0.08550314997144706,0.49,0.0,180.0,161.94957779125778,1.0,1.7308967919395633
0,0.15,both,0.07114853662468779,0.92,0.0,171.86620698118767,161.94957779125778,1.6054177068732831,1.7308967919395633
0,0.15,crump,0.10280283112330438,0.03,1.0,180.0,180.0,1.0,1.0
0,0.15,overlap,0.09984208565247125,0.065,0.0,179.22466888287803,177.22888975628837,0.24999861622813885,0.24999972444792132
0,0.3,unweighted,0.11990914971041,0.005,1.0,180.0,180.0,1.0,1.0
0,0.3,source,0.10327331654244518,0.035,1.0,171.86620698118767,180.0,1.6054177068732831,1.0
0,0.3,target,0.10431143995175643,0.025,1.0,180.0,161.94957779125778,1.0,1.7308967919395633
0,0.3,both,0.08825403193558501,0.43,0.0,171.86620698118767,161.94957779125778,1.6054177068732831,1.7308967919395633
0,0.3,crump,0.11990914971041,0.005,1.0,180.0,180.0,1.0,1.0
0,0.3,overlap,0.11841618476046709,0.005,1.0,179.22466888287803,177.22888975628837,0.24999861622813885,0.24999972444792132
0,0.45,unweighted,0.1374676116445664,0.005,1.0,180.0,180.0,1.0,1.0
0,0.45,source,0.12012923122446408,0.005,1.0,171.86620698118767,180.0,1.6054177068732831,1.0
0,0.45,target,0.12397178850092139,0.005,1.0,180.0,161.94957779125778,1.0,1.7308967919395633
0,0.45,both,0.10681610990652968,0.025,1.0,171.86620698118767,161.94957779125778,1.6054177068732831,1.7308967919395633
0,0.45,crump,0.1374676116445664,0.005,1.0,180.0,180.0,1.0,1.0
0,0.45,overlap,0.1376982873756823,0.005,1.0,179.22466888287803,177.22888975628837,0.24999861622813885,0.24999972444792132
0,0.6,unweighted,0.1556244875019052,0.005,1.0,180.0,180.0,1.0,1.0
0,0.6,source,0.1378847883703581,0.005,1.0,171.86620698118767,180.0,1.6054177068732831,1.0
0,0.6,target,0.14468846340397523,0.005,1.0,180.0,161.94957779125778,1.0,1.7308967919395633
0,0.6,both,0.12682138215191624,0.005,1.0,171.86620698118767,161.94957779125778,1.6054177068732831,1.7308967919395633
0,0.6,crump,0.1556244875019052,0.005,1.0,180.0,180.0,1.0,1.0
0,0.6,overlap,0.15734048697395245,0.005,1.0,179.22466888287803,177.22888975628837,0.24999861622813885,0.24999972444792132
1,0.0,unweighted,0.09772981348117665,0.125,0.0,180.0,180.0,1.0,1.0
1,0.0,source,0.08230536432682548,0.605,0.0,166.0918947762748,180.0,1.7773397445618093,1.0
1,0.0,target,0.07381351325989015,0.88,0.0,180.0,153.18110350683068,1.0,2.046868741772234
1,0.0,both,0.06024903592306739,0.985,0.0,166.0918947762748,153.18110350683068,1.7773397445618093,2.046868741772234
1,0.0,crump,0.09827469902138845,0.105,0.0,180.0,179.0,1.0,1.0
1,0.0,overlap,0.09068938091442438,0.315,0.0,178.38597893866813,172.91676365517986,0.24999830886600016,0.24999819884920899
1,0.15,unweighted,0.1144891622847127,0.01,1.0,180.0,180.0,1.0,1.0
1,0.15,source,0.0977326629473439,0.115,0.0,166.0918947762748,180.0,1.7773397445618093,1.0
1,0.15,target,0.09165584050787617,0.28,0.0,180.0,153.18110350683068,1.0,2.046868741772234
1,0.15,both,0.0762989905265114,0.85,0.0,166.0918947762748,153.18110350683068,1.7773397445618093,2.046868741772234
1,0.15,crump,0.11513234341832004,0.005,1.0,180.0,179.0,1.0,1.0
1,0.15,overlap,0.10969844221143042,0.015,1.0,178.38597893866813,172.91676365517986,0.24999830886600016,0.24999819884920899
1,0.3,unweighted,0.13328565195854292,0.005,1.0,180.0,180.0,1.0,1.0
1,0.3,source,0.11566201946495301,0.005,1.0,166.0918947762748,180.0,1.7773397445618093,1.0
1,0.3,target,0.11236456011605246,0.005,1.0,180.0,153.18110350683068,1.0,2.046868741772234
1,0.3,both,0.09555866798222797,0.16,0.0,166.0918947762748,153.18110350683068,1.7773397445618093,2.046868741772234
1,0.3,crump,0.13402630353817502,0.005,1.0,180.0,179.0,1.0,1.0
1,0.3,overlap,0.13117912801208292,0.005,1.0,178.38597893866813,172.91676365517986,0.24999830886600016,0.24999819884920899
1,0.45,unweighted,0.1537795524691358,0.005,1.0,180.0,180.0,1.0,1.0
1,0.45,source,0.13562393234757028,0.005,1.0,166.0918947762748,180.0,1.7773397445618093,1.0
1,0.45,target,0.13580226672683088,0.005,1.0,180.0,153.18110350683068,1.0,2.046868741772234
1,0.45,both,0.11789895394632757,0.005,1.0,166.0918947762748,153.18110350683068,1.7773397445618093,2.046868741772234
1,0.45,crump,0.1546272568606264,0.005,1.0,180.0,179.0,1.0,1.0
1,0.45,overlap,0.15476097344155296,0.005,1.0,178.38597893866813,172.91676365517986,0.24999830886600016,0.24999819884920899
1,0.6,unweighted,0.1731826808032312,0.005,1.0,180.0,180.0,1.0,1.0
1,0.6,source,0.15500345399720084,0.005,1.0,166.0918947762748,180.0,1.7773397445618093,1.0
1,0.6,target,0.1585773782831753,0.005,1.0,180.0,153.18110350683068,1.0,2.046868741772234
1,0.6,both,0.14013457294186316,0.005,1.0,166.0918947762748,153.18110350683068,1.7773397445618093,2.046868741772234
1,0.6,crump,0.17413258481427837,0.005,1.0,180.0,179.0,1.0,1.0
1,0.6,overlap,0.1768490728239376,0.005,1.0,178.38597893866813,172.91676365517986,0.24999830886600016,0.24999819884920899
2,0.0,unweighted,0.08527608977290048,0.45,0.0,180.0,180.0,1.0,1.0
2,0.0,source,0.07581156135302136,0.775,0.0,174.49063379901332,180.0,1.4429626984328894,1.0
2,0.0,target,0.06648391353593668,0.96,0.0,180.0,167.62537000289475,1.0,1.5536520373952796
2,0.0,both,0.058108386261248535,0.995,0.0,174.49063379901332,167.62537000289475,1.4429626984328894,1.5536520373952796
2,0.0,crump,0.08527608977290048,0.45,0.0,180.0,180.0,1.0,1.0
