task,task_label,task_short_label,task_domain,workflow,direction,train_size,source_size,target_size,source_mean,target_mean,mode,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
nsw,NSW employment program,NSW,employment policy,outcome,lower,0,85,185,7832.4895329411775,6349.143530270271,unweighted,0.10580396411066063,0.1307,0.0,85.0,185.0,1.0,1.0
nsw,NSW employment program,NSW,employment policy,outcome,lower,0,85,185,7832.4895329411775,6349.143530270271,source,0.10578617524711058,0.2248,0.0,23.664850643929995,185.0,4.421163942850203,1.0
nsw,NSW employment program,NSW,employment policy,outcome,lower,0,85,185,7832.4895329411775,6349.143530270271,target,0.09847607486914653,0.4166,0.0,85.0,57.272940295953404,1.0,4.024476296834905
nsw,NSW employment program,NSW,employment policy,outcome,lower,0,85,185,7832.4895329411775,6349.143530270271,both,0.09546353652142917,0.5082,0.0,23.664850643929995,57.272940295953404,4.421163942850203,4.024476296834905
nsw,NSW employment program,NSW,employment policy,outcome,lower,0,85,185,7832.4895329411775,6349.143530270271,crump,0.09138483293517735,0.6602,0.0,17.0,38.0,1.0,1.0
nsw,NSW employment program,NSW,employment policy,outcome,lower,0,85,185,7832.4895329411775,6349.143530270271,overlap,0.09178826791651691,0.6039,0.0,24.8461477404886,47.290853664046416,5.191161393002428,5.452910544437848
